Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background,label
0,0,0,0,0,0,0,0,80,4,0,52,64,16,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,56,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,56,64,20,76,32,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,56,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,68,20,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,56,68,20,68,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,56,64,20,72,28,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,20,72,28,0,0,0,unknow
0,0,68,76,0,0,0,0,84,4,0,52,64,16,76,36,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,64,16,76,28,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,48,64,16,68,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,48,60,20,68,32,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,60,20,76,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,56,64,20,68,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,16,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,60,20,72,40,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,60,20,68,32,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,16,68,32,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,20,76,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,56,64,16,64,28,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,68,20,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,48,64,20,68,20,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,20,64,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,68,20,68,24,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,24,76,16,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,48,68,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,24,72,36,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,64,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,48,64,20,72,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,52,24,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,68,20,72,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,56,72,20,76,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,16,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,16,76,36,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,76,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,64,20,0,0,0,unknow
0,0,0,0,0,0,0,0,84,4,0,52,64,16,76,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,48,68,24,68,20,0,0,0,unknow
0,0,72,76,0,0,0,0,80,4,72,32,64,20,76,44,0,0,0,unknow
0,0,76,76,0,0,0,0,80,4,72,32,64,20,76,36,0,0,0,unknow
